// ConvertZZ 額外分詞表（詞|詞性|權值）。正字、錯字與其簡體詞形都寫入。不得併入套件檔。
丰林里|0x100000|1000
豐林裏|0x100000|1000
豐林裡|0x100000|1000
豐榮里|0x100000|1000
丰荣里|0x100000|1000
豐榮裏|0x100000|1000
豐榮裡|0x100000|1000
豐樂裡|0x100000|1000
丰乐里|0x100000|1000
豐樂裏|0x100000|1000
豐樂里|0x100000|1000
豐泉裡|0x100000|1000
丰泉里|0x100000|1000
豐泉裏|0x100000|1000
豐泉里|0x100000|1000
豐洲裡|0x100000|1000
丰洲里|0x100000|1000
豐洲裏|0x100000|1000
豐洲里|0x100000|1000
豐源裏|0x100000|1000
丰源里|0x100000|1000
豐源里|0x100000|1000
豐源裡|0x100000|1000
豐漁裏|0x100000|1000
丰渔里|0x100000|1000
豐漁裡|0x100000|1000
豐漁里|0x100000|1000
豐田裏|0x100000|1000
丰田里|0x100000|1000
豐田裡|0x100000|1000
豐田里|0x100000|1000
豐盛裡|0x100000|1000
丰盛里|0x100000|1000
豐盛裏|0x100000|1000
豐盛里|0x100000|1000
豐華裡|0x100000|1000
丰华里|0x100000|1000
豐華裏|0x100000|1000
豐華里|0x100000|1000
豐裕裡|0x100000|1000
丰裕里|0x100000|1000
豐裕里|0x100000|1000
豐裕裏|0x100000|1000
豐西里|0x100000|1000
丰西里|0x100000|1000
豐西裏|0x100000|1000
豐西裡|0x100000|1000
豐谷裏|0x100000|1000
丰谷里|0x100000|1000
豐谷里|0x100000|1000
豐谷裡|0x100000|1000
豐裡裡|0x100000|1000
丰里里|0x100000|1000
豐裏裏|0x100000|1000
豐里里|0x100000|1000
豐野裏|0x100000|1000
丰野里|0x100000|1000
豐野里|0x100000|1000
豐野裡|0x100000|1000
豫溪裏|0x100000|1000
豫溪里|0x100000|1000
豫溪裡|0x100000|1000
負郭里|0x100000|1000
负郭里|0x100000|1000
負郭裡|0x100000|1000
負郭裏|0x100000|1000
貢寮裡|0x100000|1000
贡寮里|0x100000|1000
貢寮里|0x100000|1000
貢寮裏|0x100000|1000
貨饒里|0x100000|1000
货饶里|0x100000|1000
貨饒裡|0x100000|1000
貨饒裏|0x100000|1000
貴和里|0x100000|1000
贵和里|0x100000|1000
貴和裡|0x100000|1000
貴和裏|0x100000|1000
貴子里|0x100000|1000
贵子里|0x100000|1000
貴子裏|0x100000|1000
貴子裡|0x100000|1000
貴舍裡|0x100000|1000
贵舍里|0x100000|1000
貴舍裏|0x100000|1000
貴舍里|0x100000|1000
貴賢裏|0x100000|1000
贵贤里|0x100000|1000
貴賢裡|0x100000|1000
貴賢里|0x100000|1000
貿商裏|0x100000|1000
贸商里|0x100000|1000
貿商裡|0x100000|1000
貿商里|0x100000|1000
貿易裏|0x100000|1000
賀建里|0x100000|1000
贺建里|0x100000|1000
賀建裏|0x100000|1000
賀建裡|0x100000|1000
賜福裡|0x100000|1000
赐福里|0x100000|1000
賜福里|0x100000|1000
賜福裏|0x100000|1000
賢北里|0x100000|1000
贤北里|0x100000|1000
賢北裡|0x100000|1000
賢北裏|0x100000|1000
賢孝裡|0x100000|1000
贤孝里|0x100000|1000
賢孝里|0x100000|1000
賢孝裏|0x100000|1000
賢庵里|0x100000|1000
贤庵里|0x100000|1000
賢庵裡|0x100000|1000
賢庵裏|0x100000|1000
賢文裏|0x100000|1000
贤文里|0x100000|1000
賢文里|0x100000|1000
賢文裡|0x100000|1000
賴仲里|0x100000|1000
赖仲里|0x100000|1000
賴仲裏|0x100000|1000
賴仲裡|0x100000|1000
賴厝裡|0x100000|1000
赖厝里|0x100000|1000
賴厝里|0x100000|1000
賴厝裏|0x100000|1000
賴旺裏|0x100000|1000
赖旺里|0x100000|1000
賴旺裡|0x100000|1000
賴旺里|0x100000|1000
賴明裡|0x100000|1000
赖明里|0x100000|1000
賴明裏|0x100000|1000
賴明里|0x100000|1000
賴村裡|0x100000|1000
赖村里|0x100000|1000
賴村裏|0x100000|1000
賴村里|0x100000|1000
賴福裏|0x100000|1000
赖福里|0x100000|1000
賴福里|0x100000|1000
賴福裡|0x100000|1000
賴興里|0x100000|1000
赖兴里|0x100000|1000
賴興裏|0x100000|1000
賴興裡|0x100000|1000
赤山里|0x100000|1000
赤山裡|0x100000|1000
赤山裏|0x100000|1000
赤崁裡|0x100000|1000
赤崁里|0x100000|1000
赤崁裏|0x100000|1000
赤嵌裏|0x100000|1000
赤嵌里|0x100000|1000
赤嵌裡|0x100000|1000
赤東裏|0x100000|1000
赤东里|0x100000|1000
赤东裡|0x100000|1000
赤東裡|0x100000|1000
赤东裏|0x100000|1000
赤東里|0x100000|1000
赤松裏|0x100000|1000
赤松里|0x100000|1000
赤松裡|0x100000|1000
赤欄里|0x100000|1000
赤栏里|0x100000|1000
赤欄裡|0x100000|1000
赤欄裏|0x100000|1000
赤西裏|0x100000|1000
赤西里|0x100000|1000
赤西裡|0x100000|1000
越港裏|0x100000|1000
越港里|0x100000|1000
越港裡|0x100000|1000
趙甲里|0x100000|1000
赵甲里|0x100000|1000
趙甲裡|0x100000|1000
趙甲裏|0x100000|1000
路东裡|0x100000|1000
路东里|0x100000|1000
路東里|0x100000|1000
路東裏|0x100000|1000
路東裡|0x100000|1000
路东裏|0x100000|1000
車層裡|0x100000|1000
车层里|0x100000|1000
車層里|0x100000|1000
車層裏|0x100000|1000
軍功裏|0x100000|1000
军功里|0x100000|1000
軍功里|0x100000|1000
軍功裡|0x100000|1000
軟橋里|0x100000|1000
软桥里|0x100000|1000
軟橋裡|0x100000|1000
軟橋裏|0x100000|1000
辜厝裡|0x100000|1000
辜厝里|0x100000|1000
辜厝裏|0x100000|1000
迴龍裡|0x100000|1000
回龙里|0x100000|1000
迴龍里|0x100000|1000
迴龍裏|0x100000|1000
通化裡|0x100000|1000
通化里|0x100000|1000
通化裏|0x100000|1000
通南裡|0x100000|1000
通南里|0x100000|1000
通南裏|0x100000|1000
通安里|0x100000|1000
通安裡|0x100000|1000
通安裏|0x100000|1000
通明裡|0x100000|1000
通明里|0x100000|1000
通明裏|0x100000|1000
通东裡|0x100000|1000
通东里|0x100000|1000
通東里|0x100000|1000
通東裡|0x100000|1000
通東裏|0x100000|1000
通东裏|0x100000|1000
通灣里|0x100000|1000
通湾里|0x100000|1000
通灣裏|0x100000|1000
通灣裡|0x100000|1000
通西裡|0x100000|1000
通西里|0x100000|1000
通西裏|0x100000|1000
逢甲裡|0x100000|1000
逢甲里|0x100000|1000
逢甲裏|0x100000|1000
逢福裏|0x100000|1000
逢福里|0x100000|1000
逢福裡|0x100000|1000
连和裏|0x100000|1000
连和里|0x100000|1000
连和裡|0x100000|1000
連和裡|0x100000|1000
連和里|0x100000|1000
連和裏|0x100000|1000
連城裏|0x100000|1000
连城里|0x100000|1000
连城裏|0x100000|1000
連城里|0x100000|1000
连城裡|0x100000|1000
連城裡|0x100000|1000
週美裏|0x100000|1000
週美里|0x100000|1000
週美裡|0x100000|1000
進士里|0x100000|1000
进士里|0x100000|1000
進士裏|0x100000|1000
進士裡|0x100000|1000
進學裡|0x100000|1000
进学里|0x100000|1000
進學里|0x100000|1000
進學裏|0x100000|1000
逸賢裡|0x100000|1000
逸贤里|0x100000|1000
逸賢里|0x100000|1000
逸賢裏|0x100000|1000
過埤里|0x100000|1000
过埤里|0x100000|1000
過埤裡|0x100000|1000
過埤裏|0x100000|1000
過嶺裡|0x100000|1000
过岭里|0x100000|1000
過嶺里|0x100000|1000
過嶺裏|0x100000|1000
過港里|0x100000|1000
过港里|0x100000|1000
過港裏|0x100000|1000
過港裡|0x100000|1000
過溝里|0x100000|1000
过沟里|0x100000|1000
過溝裏|0x100000|1000
過溝裡|0x100000|1000
過溪里|0x100000|1000
过溪里|0x100000|1000
過溪裡|0x100000|1000
過溪裏|0x100000|1000
過田裏|0x100000|1000
过田里|0x100000|1000
過田里|0x100000|1000
過田裡|0x100000|1000
達仁里|0x100000|1000
达仁里|0x100000|1000
達仁裡|0x100000|1000
達仁裏|0x100000|1000
達勇裏|0x100000|1000
达勇里|0x100000|1000
達勇裡|0x100000|1000
達勇里|0x100000|1000
達卡努瓦裏|0x100000|1000
达卡努瓦里|0x100000|1000
達卡努瓦裡|0x100000|1000
達卡努瓦里|0x100000|1000
達德裏|0x100000|1000
达德里|0x100000|1000
達德里|0x100000|1000
達德裡|0x100000|1000
達明里|0x100000|1000
达明里|0x100000|1000
達明裡|0x100000|1000
達明裏|0x100000|1000
達觀裡|0x100000|1000
达观里|0x100000|1000
達觀里|0x100000|1000
達觀裏|0x100000|1000
還社里|0x100000|1000
还社里|0x100000|1000
還社裡|0x100000|1000
還社裏|0x100000|1000
那拔里|0x100000|1000
那拔裡|0x100000|1000
那拔裏|0x100000|1000
邱厝里|0x100000|1000
邱厝裡|0x100000|1000
邱厝裏|0x100000|1000
郡南裏|0x100000|1000
郡南里|0x100000|1000
郡南裡|0x100000|1000
郡王里|0x100000|1000
郡王裏|0x100000|1000
郡王裡|0x100000|1000
郭厝里|0x100000|1000
郭厝裡|0x100000|1000
郭厝裏|0x100000|1000
乡長里|0x100000|1000
乡长里|0x100000|1000
乡長裏|0x100000|1000
鄉長里|0x100000|1000
鄉長裏|0x100000|1000
鄉長裡|0x100000|1000
乡長裡|0x100000|1000
乡云裡|0x100000|1000
乡云里|0x100000|1000
鄉云裡|0x100000|1000
鄉雲里|0x100000|1000
鄉云里|0x100000|1000
乡雲裡|0x100000|1000
鄉雲裏|0x100000|1000
乡雲里|0x100000|1000
乡云裏|0x100000|1000
乡雲裏|0x100000|1000
鄉云裏|0x100000|1000
鄉雲裡|0x100000|1000
鄧公裡|0x100000|1000
邓公里|0x100000|1000
鄧公裏|0x100000|1000
鄧公里|0x100000|1000
鄰江裡|0x100000|1000
邻江里|0x100000|1000
鄰江裏|0x100000|1000
鄰江里|0x100000|1000
裡壠裡|0x100000|1000
里垅里|0x100000|1000
里壠里|0x100000|1000
裏壠裏|0x100000|1000
重光裡|0x100000|1000
重光里|0x100000|1000
重光裏|0x100000|1000
重和裏|0x100000|1000
重和里|0x100000|1000
重和裡|0x100000|1000
重慶裡|0x100000|1000
重庆里|0x100000|1000
重慶裏|0x100000|1000
重慶里|0x100000|1000
重新裡|0x100000|1000
重新里|0x100000|1000
重新裏|0x100000|1000
重明裏|0x100000|1000
重明里|0x100000|1000
重明裡|0x100000|1000
重溪裡|0x100000|1000
重溪里|0x100000|1000
重溪裏|0x100000|1000
重興裡|0x100000|1000
重兴里|0x100000|1000
重興里|0x100000|1000
重興裏|0x100000|1000
重陽里|0x100000|1000
重阳里|0x100000|1000
重陽裡|0x100000|1000
重陽裏|0x100000|1000
野柳裡|0x100000|1000
野柳里|0x100000|1000
野柳裏|0x100000|1000
金圳裡|0x100000|1000
金圳里|0x100000|1000
金圳裏|0x100000|1000
金城里|0x100000|1000
金城裏|0x100000|1000
金城裡|0x100000|1000
金寮里|0x100000|1000
金寮裡|0x100000|1000
金寮裏|0x100000|1000
金山裡|0x100000|1000
金山里|0x100000|1000
金山裏|0x100000|1000
金星里|0x100000|1000
金星裡|0x100000|1000
金星裏|0x100000|1000
金水裡|0x100000|1000
金水里|0x100000|1000
金水裏|0x100000|1000
金泉裏|0x100000|1000
金泉里|0x100000|1000
金泉裡|0x100000|1000
金泰里|0x100000|1000
金泰裏|0x100000|1000
金泰裡|0x100000|1000
金湖里|0x100000|1000
金湖裡|0x100000|1000
金湖裏|0x100000|1000
金溪裡|0x100000|1000
金溪里|0x100000|1000
金溪裏|0x100000|1000
金瑞里|0x100000|1000
金瑞裏|0x100000|1000
金瑞裡|0x100000|1000
金田裡|0x100000|1000
金田里|0x100000|1000
金田裏|0x100000|1000
金盈裏|0x100000|1000
金盈里|0x100000|1000
金盈裡|0x100000|1000
金砂裡|0x100000|1000
金砂里|0x100000|1000
金砂裏|0x100000|1000
金竹里|0x100000|1000
金竹裡|0x100000|1000
金竹裏|0x100000|1000
金美裏|0x100000|1000
金美里|0x100000|1000
金美裡|0x100000|1000
金華裏|0x100000|1000
金华里|0x100000|1000
金華里|0x100000|1000
金華裡|0x100000|1000
金陵裡|0x100000|1000
金陵里|0x100000|1000
金陵裏|0x100000|1000
金面里|0x100000|1000
金面裡|0x100000|1000
金面裏|0x100000|1000
金龍里|0x100000|1000
金龙里|0x100000|1000
金龍裡|0x100000|1000
金龍裏|0x100000|1000
銅安里|0x100000|1000
铜安里|0x100000|1000
銅安裡|0x100000|1000
銅安裏|0x100000|1000
銅山里|0x100000|1000
铜山里|0x100000|1000
銅山裡|0x100000|1000
銅山裏|0x100000|1000
銘德裏|0x100000|1000
铭德里|0x100000|1000
銘德里|0x100000|1000
銘德裡|0x100000|1000
錦中裏|0x100000|1000
锦中里|0x100000|1000
錦中里|0x100000|1000
錦中裡|0x100000|1000
錦和裡|0x100000|1000
锦和里|0x100000|1000
錦和里|0x100000|1000
錦和裏|0x100000|1000
錦安里|0x100000|1000
锦安里|0x100000|1000
錦安裡|0x100000|1000
錦安裏|0x100000|1000
錦屏裡|0x100000|1000
锦屏里|0x100000|1000
錦屏里|0x100000|1000
錦屏裏|0x100000|1000
錦山裏|0x100000|1000
锦山里|0x100000|1000
錦山里|0x100000|1000
錦山裡|0x100000|1000
錦平裏|0x100000|1000
锦平里|0x100000|1000
錦平裡|0x100000|1000
錦平里|0x100000|1000
錦德裡|0x100000|1000
锦德里|0x100000|1000
錦德里|0x100000|1000
錦德裏|0x100000|1000
錦昌裏|0x100000|1000
锦昌里|0x100000|1000
錦昌里|0x100000|1000
錦昌裡|0x100000|1000
錦村裡|0x100000|1000
锦村里|0x100000|1000
錦村裏|0x100000|1000
錦村里|0x100000|1000
錦榮裡|0x100000|1000
锦荣里|0x100000|1000
錦榮里|0x100000|1000
錦榮裏|0x100000|1000
錦江裏|0x100000|1000
锦江里|0x100000|1000
錦江裡|0x100000|1000
錦江里|0x100000|1000
錦泰裡|0x100000|1000
锦泰里|0x100000|1000
錦泰裏|0x100000|1000
錦泰里|0x100000|1000
錦洲裏|0x100000|1000
锦洲里|0x100000|1000
錦洲里|0x100000|1000
錦洲裡|0x100000|1000
錦湖里|0x100000|1000
锦湖里|0x100000|1000
錦湖裡|0x100000|1000
錦湖裏|0x100000|1000
錦田裡|0x100000|1000
锦田里|0x100000|1000
錦田裏|0x100000|1000
錦田里|0x100000|1000
錦盛裏|0x100000|1000
锦盛里|0x100000|1000
錦盛里|0x100000|1000
錦盛裡|0x100000|1000
錦祥里|0x100000|1000
锦祥里|0x100000|1000
錦祥裡|0x100000|1000
錦祥裏|0x100000|1000
錦興裏|0x100000|1000
锦兴里|0x100000|1000
錦興裡|0x100000|1000
錦興里|0x100000|1000
錦華裡|0x100000|1000
锦华里|0x100000|1000
錦華里|0x100000|1000
錦華裏|0x100000|1000
錦通裡|0x100000|1000
锦通里|0x100000|1000
錦通里|0x100000|1000
錦通裏|0x100000|1000
錫板裏|0x100000|1000
锡板里|0x100000|1000
錫板里|0x100000|1000
錫板裡|0x100000|1000
鎌村裡|0x100000|1000
鎌村里|0x100000|1000
鎌村裏|0x100000|1000
鎖港里|0x100000|1000
锁港里|0x100000|1000
鎖港裏|0x100000|1000
鎖港裡|0x100000|1000
镇中裏|0x100000|1000
镇中里|0x100000|1000
鎮中裡|0x100000|1000
镇中裡|0x100000|1000
鎮中裏|0x100000|1000
鎮中里|0x100000|1000
镇北里|0x100000|1000
镇北裏|0x100000|1000
镇北裡|0x100000|1000
鎮北里|0x100000|1000
鎮北裡|0x100000|1000
鎮北裏|0x100000|1000
鎮南里|0x100000|1000
镇南里|0x100000|1000
鎮南裡|0x100000|1000
鎮南裏|0x100000|1000
镇南裡|0x100000|1000
镇南裏|0x100000|1000
镇山裡|0x100000|1000
镇山里|0x100000|1000
鎮山裡|0x100000|1000
鎮山裏|0x100000|1000
鎮山里|0x100000|1000
镇山裏|0x100000|1000
镇平里|0x100000|1000
鎮平裡|0x100000|1000
镇平裡|0x100000|1000
镇平裏|0x100000|1000
鎮平裏|0x100000|1000
鎮平里|0x100000|1000
鎮昌裡|0x100000|1000
镇昌里|0x100000|1000
镇昌裡|0x100000|1000
鎮昌里|0x100000|1000
鎮昌裏|0x100000|1000
镇昌裏|0x100000|1000
鎮東裏|0x100000|1000
镇东里|0x100000|1000
镇東裏|0x100000|1000
镇东裏|0x100000|1000
镇東裡|0x100000|1000
镇東里|0x100000|1000
鎮东裏|0x100000|1000
鎮東裡|0x100000|1000
鎮東里|0x100000|1000
鎮东裡|0x100000|1000
镇东裡|0x100000|1000
鎮东里|0x100000|1000
镇榮里|0x100000|1000
镇荣里|0x100000|1000
鎮榮里|0x100000|1000
鎮榮裡|0x100000|1000
镇榮裏|0x100000|1000
镇榮裡|0x100000|1000
鎮榮裏|0x100000|1000
鎮海里|0x100000|1000
镇海里|0x100000|1000
鎮海裡|0x100000|1000
镇海裡|0x100000|1000
镇海裏|0x100000|1000
鎮海裏|0x100000|1000
鎮興裏|0x100000|1000
镇兴里|0x100000|1000
鎮興里|0x100000|1000
镇興里|0x100000|1000
镇興裏|0x100000|1000
镇興裡|0x100000|1000
鎮興裡|0x100000|1000
鎮西裏|0x100000|1000
镇西里|0x100000|1000
镇西裏|0x100000|1000
镇西裡|0x100000|1000
鎮西里|0x100000|1000
鎮西裡|0x100000|1000
鎮陽里|0x100000|1000
镇阳里|0x100000|1000
鎮陽裏|0x100000|1000
镇陽裏|0x100000|1000
鎮陽裡|0x100000|1000
镇陽裡|0x100000|1000
镇陽里|0x100000|1000
鐵山裏|0x100000|1000
铁山里|0x100000|1000
鐵山里|0x100000|1000
鐵山裡|0x100000|1000
鐵線裏|0x100000|1000
铁缐里|0x100000|1000
鐵線裡|0x100000|1000
鐵線里|0x100000|1000
長億裡|0x100000|1000
长亿里|0x100000|1000
長億裏|0x100000|1000
長億里|0x100000|1000
長元里|0x100000|1000
长元里|0x100000|1000
長元裡|0x100000|1000
長元裏|0x100000|1000
長勝里|0x100000|1000
长胜里|0x100000|1000
長勝裡|0x100000|1000
長勝裏|0x100000|1000
長坑裏|0x100000|1000
长坑里|0x100000|1000
長坑裡|0x100000|1000
長坑里|0x100000|1000
長城里|0x100000|1000
长城里|0x100000|1000
長城裡|0x100000|1000
長城裏|0x100000|1000
長壽里|0x100000|1000
长寿里|0x100000|1000
長壽裡|0x100000|1000
長壽裏|0x100000|1000
長安裏|0x100000|1000
长安里|0x100000|1000
長安里|0x100000|1000
長安裡|0x100000|1000
長平裡|0x100000|1000
长平里|0x100000|1000
長平里|0x100000|1000
長平裏|0x100000|1000
長庚裏|0x100000|1000
长庚里|0x100000|1000
長庚里|0x100000|1000
長庚裡|0x100000|1000
長德裡|0x100000|1000
长德里|0x100000|1000
長德裏|0x100000|1000
長德里|0x100000|1000
長明里|0x100000|1000
长明里|0x100000|1000
長明裏|0x100000|1000
長明裡|0x100000|1000
長春裡|0x100000|1000
长春里|0x100000|1000
長春里|0x100000|1000
長春裏|0x100000|1000
長榮裡|0x100000|1000
长荣里|0x100000|1000
長榮裏|0x100000|1000
長榮里|0x100000|1000
長樂裏|0x100000|1000
长乐里|0x100000|1000
長樂里|0x100000|1000
長樂裡|0x100000|1000
長橋里|0x100000|1000
长桥里|0x100000|1000
長橋裡|0x100000|1000
長橋裏|0x100000|1000
長江裏|0x100000|1000
长江里|0x100000|1000
長江里|0x100000|1000
長江裡|0x100000|1000
長沙里|0x100000|1000
长沙里|0x100000|1000
長沙裡|0x100000|1000
長沙裏|0x100000|1000
長泰裏|0x100000|1000
长泰里|0x100000|1000
長泰裡|0x100000|1000
長泰里|0x100000|1000
長源裏|0x100000|1000
长源里|0x100000|1000
長源里|0x100000|1000
長源裡|0x100000|1000
長潭里|0x100000|1000
长潭里|0x100000|1000
長潭裡|0x100000|1000
長潭裏|0x100000|1000
長生里|0x100000|1000
长生里|0x100000|1000
長生裡|0x100000|1000
長生裏|0x100000|1000
長短樹裡|0x100000|1000
长短树里|0x100000|1000
長短樹里|0x100000|1000
長短樹裏|0x100000|1000
長福裡|0x100000|1000
长福里|0x100000|1000
長福裏|0x100000|1000
長福里|0x100000|1000
長竹裡|0x100000|1000
长竹里|0x100000|1000
長竹里|0x100000|1000
長竹裏|0x100000|1000
長美里|0x100000|1000
长美里|0x100000|1000
長美裏|0x100000|1000
長美裡|0x100000|1000
長興裡|0x100000|1000
长兴里|0x100000|1000
長興裏|0x100000|1000
長興里|0x100000|1000
長良里|0x100000|1000
长良里|0x100000|1000
長良裡|0x100000|1000
長良裏|0x100000|1000
長青裡|0x100000|1000
长青里|0x100000|1000
長青里|0x100000|1000
長青裏|0x100000|1000
長風裏|0x100000|1000
长风里|0x100000|1000
長風裡|0x100000|1000
長風里|0x100000|1000
長驛裏|0x100000|1000
长驿里|0x100000|1000
長驛裡|0x100000|1000
長驛里|0x100000|1000
開元裏|0x100000|1000
开元里|0x100000|1000
開元里|0x100000|1000
開元裡|0x100000|1000
開化里|0x100000|1000
开化里|0x100000|1000
開化裡|0x100000|1000
開化裏|0x100000|1000
開南里|0x100000|1000
开南里|0x100000|1000
開南裡|0x100000|1000
開南裏|0x100000|1000
開山里|0x100000|1000
开山里|0x100000|1000
開山裡|0x100000|1000
開山裏|0x100000|1000
開平里|0x100000|1000
开平里|0x100000|1000
開平裡|0x100000|1000
開平裏|0x100000|1000
開明裡|0x100000|1000
开明里|0x100000|1000
開明裏|0x100000|1000
開明里|0x100000|1000
關山里|0x100000|1000
关山里|0x100000|1000
關山裡|0x100000|1000
關山裏|0x100000|1000
關嶺里|0x100000|1000
关岭里|0x100000|1000
關嶺裏|0x100000|1000
關嶺裡|0x100000|1000
關帝裏|0x100000|1000
关帝里|0x100000|1000
關帝里|0x100000|1000
關帝裡|0x100000|1000
關廟裏|0x100000|1000
关庙里|0x100000|1000
關廟裡|0x100000|1000
關廟里|0x100000|1000
關新裡|0x100000|1000
关新里|0x100000|1000
關新裏|0x100000|1000
關新里|0x100000|1000
關東裡|0x100000|1000
关东里|0x100000|1000
關東里|0x100000|1000
關东里|0x100000|1000
關東裏|0x100000|1000
關东裏|0x100000|1000
關东裡|0x100000|1000
關渡裡|0x100000|1000
关渡里|0x100000|1000
關渡里|0x100000|1000
關渡裏|0x100000|1000
關聖裡|0x100000|1000
关圣里|0x100000|1000
關聖裏|0x100000|1000
關聖里|0x100000|1000
阿丹里|0x100000|1000
阿丹裏|0x100000|1000
阿丹裡|0x100000|1000
阿夷裏|0x100000|1000
阿夷里|0x100000|1000
阿夷裡|0x100000|1000
阿柔里|0x100000|1000
阿柔裡|0x100000|1000
阿柔裏|0x100000|1000
阿蓮里|0x100000|1000
阿莲里|0x100000|1000
阿蓮裡|0x100000|1000
阿蓮裏|0x100000|1000
陳平裡|0x100000|1000
陈平里|0x100000|1000
陳平裏|0x100000|1000
陳平里|0x100000|1000
陸一里|0x100000|1000
陆一里|0x100000|1000
陸一裡|0x100000|1000
陸一裏|0x100000|1000
陸光裏|0x100000|1000
陆光里|0x100000|1000
陸光裡|0x100000|1000
陸光里|0x100000|1000
陸橋裡|0x100000|1000
陆桥里|0x100000|1000
陸橋裏|0x100000|1000
陸橋里|0x100000|1000
陸豐裡|0x100000|1000
陆丰里|0x100000|1000
陸豐里|0x100000|1000
陸豐裏|0x100000|1000
陽明里|0x100000|1000
阳明里|0x100000|1000
陽明裡|0x100000|1000
陽明裏|0x100000|1000
隆和裏|0x100000|1000
隆和里|0x100000|1000
隆和裡|0x100000|1000
隆昌裏|0x100000|1000
隆昌里|0x100000|1000
隆昌裡|0x100000|1000
隆本里|0x100000|1000
隆本裡|0x100000|1000
隆本裏|0x100000|1000
隆田裡|0x100000|1000
隆田里|0x100000|1000
隆田裏|0x100000|1000
隆盛裏|0x100000|1000
隆盛里|0x100000|1000
隆盛裡|0x100000|1000
隆興里|0x100000|1000
隆兴里|0x100000|1000
隆興裡|0x100000|1000
隆興裏|0x100000|1000
隘丁裡|0x100000|1000
隘丁里|0x100000|1000
隘丁裏|0x100000|1000
隘口裏|0x100000|1000
隘口里|0x100000|1000
隘口裡|0x100000|1000
隘寮裡|0x100000|1000
隘寮里|0x100000|1000
隘寮裏|0x100000|1000
雄峰裡|0x100000|1000
雄峰里|0x100000|1000
雄峰裏|0x100000|1000
雅楓裡|0x100000|1000
雅枫里|0x100000|1000
雅楓裏|0x100000|1000
雅楓里|0x100000|1000
雅溝裏|0x100000|1000
雅沟里|0x100000|1000
雅溝里|0x100000|1000
雅溝裡|0x100000|1000
雅祥裡|0x100000|1000
雅祥里|0x100000|1000
雅祥裏|0x100000|1000
集來裏|0x100000|1000
集来里|0x100000|1000
集來里|0x100000|1000
集來裡|0x100000|1000
集祥裏|0x100000|1000
集祥里|0x100000|1000
集祥裡|0x100000|1000
集福裏|0x100000|1000
集福里|0x100000|1000
集福裡|0x100000|1000
集英裡|0x100000|1000
集英里|0x100000|1000
集英裏|0x100000|1000
集賢里|0x100000|1000
集贤里|0x100000|1000
集賢裏|0x100000|1000
集賢裡|0x100000|1000
集集里|0x100000|1000
集集裏|0x100000|1000
集集裡|0x100000|1000
雙冬里|0x100000|1000
双冬里|0x100000|1000
雙冬裡|0x100000|1000
雙冬裏|0x100000|1000
雙和裏|0x100000|1000
双和里|0x100000|1000
雙和里|0x100000|1000
雙和裡|0x100000|1000
雙园裏|0x100000|1000
双园里|0x100000|1000
雙园裡|0x100000|1000
雙園里|0x100000|1000
雙园里|0x100000|1000
雙園裡|0x100000|1000
雙園裏|0x100000|1000
雙坑里|0x100000|1000
双坑里|0x100000|1000
雙坑裡|0x100000|1000
雙坑裏|0x100000|1000
雙城裡|0x100000|1000
双城里|0x100000|1000
雙城裏|0x100000|1000
雙城里|0x100000|1000
雙安里|0x100000|1000
双安里|0x100000|1000
雙安裏|0x100000|1000
雙安裡|0x100000|1000
雙春裏|0x100000|1000
双春里|0x100000|1000
雙春裡|0x100000|1000
雙春里|0x100000|1000
雙榮里|0x100000|1000
双荣里|0x100000|1000
雙榮裡|0x100000|1000
雙榮裏|0x100000|1000
雙溪里|0x100000|1000
雙溪裡|0x100000|1000
雙溪裏|0x100000|1000
雙玉裡|0x100000|1000
双玉里|0x100000|1000
雙玉里|0x100000|1000
雙玉裏|0x100000|1000
雙興裏|0x100000|1000
双兴里|0x100000|1000
雙興里|0x100000|1000
雙興裡|0x100000|1000
雙连裡|0x100000|1000
双连里|0x100000|1000
雙连里|0x100000|1000
雙連裏|0x100000|1000
雙连裏|0x100000|1000
雙連里|0x100000|1000
雙連裡|0x100000|1000
雙鳳裏|0x100000|1000
双凤里|0x100000|1000
雙鳳里|0x100000|1000
雙鳳裡|0x100000|1000
雲林里|0x100000|1000
云林里|0x100000|1000
雲林裡|0x100000|1000
雲林裏|0x100000|1000
云林裏|0x100000|1000
云林裡|0x100000|1000
電光裡|0x100000|1000
电光里|0x100000|1000
電光裏|0x100000|1000
電光里|0x100000|1000
霄裡里|0x100000|1000
霄里里|0x100000|1000
霄裡裏|0x100000|1000
霄裡裡|0x100000|1000
霞云裏|0x100000|1000
霞云里|0x100000|1000
霞云裡|0x100000|1000
霞雲里|0x100000|1000
霞雲裡|0x100000|1000
霞雲裏|0x100000|1000
靈泉裏|0x100000|1000
灵泉里|0x100000|1000
靈泉里|0x100000|1000
靈泉裡|0x100000|1000
青园裏|0x100000|1000
青园里|0x100000|1000
青園里|0x100000|1000
青園裏|0x100000|1000
青园裡|0x100000|1000
青園裡|0x100000|1000
青埔里|0x100000|1000
青埔裏|0x100000|1000
青埔裡|0x100000|1000
青山裏|0x100000|1000
青山里|0x100000|1000
青山裡|0x100000|1000
青峰里|0x100000|1000
青峰裏|0x100000|1000
青峰裡|0x100000|1000
青島里|0x100000|1000
青岛里|0x100000|1000
青島裡|0x100000|1000
青島裏|0x100000|1000
