// ConvertZZ 額外分詞表（詞|詞性|權值）。正字、錯字與其簡體詞形都寫入。不得併入套件檔。
晒后|0x100000|45
晒後|0x100000|45
曬得|0x100000|115
晒得|0x100000|115
曬成|0x1000|9
晒成|0x1000|9
曬掉|0x100000|10
晒掉|0x100000|10
曬斑|0x100000|33
晒斑|0x100000|33
曬暈|0x100000|7
晒晕|0x100000|7
晒暈|0x100000|7
曬曬|0x1000|14
晒晒|0x1000|14
曬死|0x100000|17
晒死|0x100000|17
曬焦|0x100000|13
晒焦|0x100000|13
曬爆|0x100000|7
晒爆|0x100000|7
曬的|0x100000|44
晒的|0x100000|44
曬紅|0x100000|36
晒红|0x100000|36
晒紅|0x100000|36
曬與|0x100000|7
晒与|0x100000|7
晒與|0x100000|7
曬著|0x100000|6
晒着|0x100000|6
晒著|0x100000|6
曬蔫|0x100000|7
晒蔫|0x100000|7
曬衣|0x100000|123
晒衣|0x100000|123
曬衣架|0x100000|61
晒衣架|0x100000|61
曬裂|0x100000|5
晒裂|0x100000|5
曬貼|0x100000|6
晒贴|0x100000|6
晒貼|0x100000|6
曬過|0x100000|9
晒过|0x100000|9
晒過|0x100000|9
曬醒|0x100000|8
晒醒|0x100000|8
曬霜|0x100000|57
晒霜|0x100000|57
曬鹽|0x100000|10
晒盐|0x100000|10
晒鹽|0x100000|10
曬黑|0x1000|71
晒黑|0x1000|71
更乾|0x100000|86
更干|0x100000|86
更兇|0x100000|20
更凶|0x100000|20
更新裡|0x100000|80
更新里|0x100000|80
更準|0x100000|15
更准|0x100000|15
更鬆|0x100000|9
更松|0x100000|9
最兇|0x100000|20
最凶|0x100000|20
最曬|0x100000|8
最晒|0x100000|8
最準|0x100000|97
最准|0x100000|97
會乾|0x1000|65
会干|0x1000|65
會幹|0x1000|65
會佔|0x100000|64
会占|0x100000|64
會占|0x100000|64
會併|0x100000|13
会并|0x100000|13
會並|0x100000|13
會唸|0x100000|82
会念|0x100000|82
會念|0x100000|82
會塗|0x100000|5
会凃|0x100000|5
會凃|0x100000|5
会涂|0x100000|5
會彙|0x100000|155
会汇|0x100000|155
會匯|0x100000|155
會採|0x100000|38
会采|0x100000|38
會采|0x100000|38
會於|0x100000|1645
会于|0x100000|1645
會于|0x100000|1645
會曬|0x100000|33
会晒|0x100000|33
會晒|0x100000|33
會準|0x100000|33
会准|0x100000|33
會准|0x100000|33
會痠|0x100000|43
会酸|0x100000|43
會酸|0x100000|43
會繃|0x100000|5
会绷|0x100000|5
會綳|0x100000|5
會註|0x100000|33
会注|0x100000|33
會注|0x100000|33
會鬆|0x100000|22
会松|0x100000|22
會松|0x100000|22
月份|0x20000|2371
月分|0x20000|2371
月彙|0x100000|9
月汇|0x100000|9
月匯|0x100000|9
月採|0x100000|8
月采|0x100000|8
月曆|0x100000|46
月历|0x100000|46
月歷|0x100000|46
有乾|0x100000|22
有干|0x100000|22
有劃|0x100000|90
有划|0x100000|90
有塗|0x100000|36
有凃|0x100000|36
有幾|0x100000|73
